region,confirmed,deaths,recovered
BARMM,360,5,103
CAR,195,2,103
CARAGA,146,2,61
MIMAROPA,237,4,106
NCR,45969,1000,14118
REPATRIATE,3043,5,1380
Region I: Ilocos Region,322,15,124
Region II: Cagayan Valley,268,1,129
Region III: Central Luzon,2039,52,746
Region IV-A: CALABARZON,7416,159,1964
Region IX: Zamboanga Peninsula,656,15,261
Region V: Bicol Region,418,7,144
Region VI: Western Visayas,1051,15,375
Region VII: Central Visayas,13461,600,4646
Region VIII: Eastern Visayas,750,2,582
Region X: Northern Mindanao,527,11,91
Region XI: Davao Region,1155,45,595
Region XII: SOCCSKSARGEN,263,3,78
