region,confirmed,deaths,recovered
BARMM,37,0,0
CAR,101,0,0
CARAGA,19,0,0
NCR,14054,0,0
Region I: Ilocos Region,117,0,0
Region II: Cagayan Valley,44,0,0
Region III: Central Luzon,739,0,0
Region IV-A: CALABARZON,2016,0,0
Region IV-B: MIMAROPA,74,0,0
Region IX: Zamboanga Peninsula,178,0,0
Region V: Bicol Region,95,0,0
Region VI: Western Visayas,147,0,0
Region VII: Central Visayas,4533,0,0
Region VIII: Eastern Visayas,197,0,0
Region X: Northern Mindanao,80,0,0
Region XI: Davao Region,433,0,0
Region XII: SOCCSKSARGEN,42,0,0
Repatriate,1621,0,0
