region,confirmed,deaths,recovered
BARMM,563,11,430
CAR,714,8,313
CARAGA,370,1,246
NCR,103100,1363,64026
REPATRIATE,8148,14,5522
Region I: Ilocos Region,948,25,492
Region II: Cagayan Valley,657,3,350
Region III: Central Luzon,6280,78,3040
Region IV-A: CALABARZON,25909,247,13706
Region IV-B: MIMAROPA,571,6,315
Region IX: Zamboanga Peninsula,1268,36,778
Region V: Bicol Region,1233,17,591
Region VI: Western Visayas,3488,46,1518
Region VII: Central Visayas,18934,999,15791
Region VIII: Eastern Visayas,1893,8,1115
Region X: Northern Mindanao,1216,14,666
Region XI: Davao Region,1933,56,1385
Region XII: SOCCSKSARGEN,551,4,395
