region,confirmed,deaths,recovered
BARMM,191,5,44
CAR,146,3,93
CARAGA,170,0,33
MIMAROPA,147,4,74
NCR,23870,903,8665
REPATRIATE,2188,1,170
Region I: Ilocos Region,199,13,69
Region II: Cagayan Valley,128,1,45
Region III: Central Luzon,1392,50,632
Region IV-A: CALABARZON,3893,155,1699
Region IX: Zamboanga Peninsula,389,10,184
Region V: Bicol Region,270,5,81
Region VI: Western Visayas,504,11,132
Region VII: Central Visayas,10622,302,2758
Region VIII: Eastern Visayas,614,2,247
Region X: Northern Mindanao,263,9,48
Region XI: Davao Region,735,33,405
Region XII: SOCCSKSARGEN,105,2,36
