region,confirmed,deaths,recovered
BARMM,11,0,0
CAR,45,0,0
CARAGA,3,0,0
NCR,7464,0,0
Region I: Ilocos Region,62,0,0
Region II: Cagayan Valley,34,0,0
Region III: Central Luzon,409,0,0
Region IV-A: CALABARZON,1329,0,0
Region IV-B: MIMAROPA,34,0,0
Region IX: Zamboanga Peninsula,71,0,0
Region V: Bicol Region,67,0,0
Region VI: Western Visayas,103,0,0
Region VII: Central Visayas,1736,0,0
Region VIII: Eastern Visayas,18,0,0
Region X: Northern Mindanao,19,0,0
Region XI: Davao Region,172,0,0
Region XII: SOCCSKSARGEN,16,0,0
