region,confirmed,deaths,recovered
BARMM,41,0,0
CAR,109,0,0
CARAGA,26,0,0
NCR,15098,0,0
Region I: Ilocos Region,122,0,0
Region II: Cagayan Valley,44,0,0
Region III: Central Luzon,772,0,0
Region IV-A: CALABARZON,2168,0,0
Region IV-B: MIMAROPA,84,0,0
Region IX: Zamboanga Peninsula,186,0,0
Region V: Bicol Region,97,0,0
Region VI: Western Visayas,166,0,0
Region VII: Central Visayas,5667,0,0
Region VIII: Eastern Visayas,286,0,0
Region X: Northern Mindanao,88,0,0
Region XI: Davao Region,446,0,0
Region XII: SOCCSKSARGEN,50,0,0
Repatriate,1741,0,0
