region,confirmed,deaths,recovered
BARMM,1437,42,995
CAR,2094,21,1235
CARAGA,1773,47,1003
NCR,171427,2941,147723
ROF,12051,31,11803
Region I: Ilocos Region,2300,53,1531
Region II: Cagayan Valley,2130,30,1442
Region III: Central Luzon,18304,230,13250
Region IV-A: CALABARZON,59235,667,46331
Region IV-B: MIMAROPA,1692,24,1143
Region IX: Zamboanga Peninsula,2484,96,1919
Region V: Bicol Region,2666,78,2189
Region VI: Western Visayas,13300,288,9551
Region VII: Central Visayas,22545,1264,19763
Region VIII: Eastern Visayas,5306,44,4427
Region X: Northern Mindanao,3706,74,2438
Region XI: Davao Region,3600,92,2682
Region XII: SOCCSKSARGEN,1966,36,1282
