region,confirmed,deaths,recovered
BARMM,315,5,87
CAR,190,3,97
CARAGA,196,1,98
MIMAROPA,231,4,107
NCR,40678,976,13758
REPATRIATE,2450,2,1126
Region I: Ilocos Region,272,14,88
Region II: Cagayan Valley,238,1,79
Region III: Central Luzon,1888,51,746
Region IV-A: CALABARZON,6059,158,1958
Region IX: Zamboanga Peninsula,620,12,215
Region V: Bicol Region,360,7,105
Region VI: Western Visayas,934,15,278
Region VII: Central Visayas,12254,559,3405
Region VIII: Eastern Visayas,715,2,585
Region X: Northern Mindanao,544,11,75
Region XI: Davao Region,1030,43,510
Region XII: SOCCSKSARGEN,247,2,60
