region,confirmed,deaths,recovered
BARMM,321,5,87
CAR,190,2,100
CARAGA,197,1,98
MIMAROPA,233,4,105
NCR,41960,973,13843
REPATRIATE,2450,2,1127
Region I: Ilocos Region,281,14,88
Region II: Cagayan Valley,248,1,80
Region III: Central Luzon,1941,52,743
Region IV-A: CALABARZON,6337,158,1955
Region IX: Zamboanga Peninsula,644,12,216
Region V: Bicol Region,373,7,106
Region VI: Western Visayas,998,16,292
Region VII: Central Visayas,12539,570,3403
Region VIII: Eastern Visayas,735,2,585
Region X: Northern Mindanao,555,11,75
Region XI: Davao Region,1059,43,532
Region XII: SOCCSKSARGEN,249,2,61
