region,confirmed,deaths,recovered
BARMM,510,5,320
CAR,508,7,179
CARAGA,314,2,134
NCR,81745,1131,36788
REPATRIATE,6752,15,4338
Region I: Ilocos Region,740,22,243
Region II: Cagayan Valley,578,2,220
Region III: Central Luzon,4495,64,1598
Region IV-A: CALABARZON,19448,194,5482
Region IV-B: MIMAROPA,425,6,174
Region IX: Zamboanga Peninsula,1062,28,562
Region V: Bicol Region,948,9,320
Region VI: Western Visayas,2541,30,997
Region VII: Central Visayas,18071,835,13299
Region VIII: Eastern Visayas,1445,3,781
Region X: Northern Mindanao,890,13,411
Region XI: Davao Region,1650,53,1008
Region XII: SOCCSKSARGEN,467,3,232
