region,confirmed,deaths,recovered
BARMM,1595,48,1154
CAR,2411,25,1532
CARAGA,2164,63,1266
NCR,176954,3096,155976
ROF,12206,35,11944
Region I: Ilocos Region,2629,71,1768
Region II: Cagayan Valley,2434,32,1701
Region III: Central Luzon,19650,254,15071
Region IV-A: CALABARZON,63297,737,50907
Region IV-B: MIMAROPA,1832,25,1295
Region IX: Zamboanga Peninsula,3009,103,2042
Region V: Bicol Region,2807,84,2332
Region VI: Western Visayas,14792,345,11130
Region VII: Central Visayas,22866,1278,20380
Region VIII: Eastern Visayas,5777,49,4826
Region X: Northern Mindanao,4285,90,2779
Region XI: Davao Region,3953,106,2891
Region XII: SOCCSKSARGEN,2258,46,1528
