region,confirmed,deaths,recovered
BARMM,562,11,428
CAR,702,8,308
CARAGA,385,3,249
NCR,106079,1382,64398
REPATRIATE,8274,14,5569
Region I: Ilocos Region,970,25,492
Region II: Cagayan Valley,687,3,352
Region III: Central Luzon,6582,80,3088
Region IV-A: CALABARZON,27115,249,13847
Region IV-B: MIMAROPA,600,6,317
Region IX: Zamboanga Peninsula,1291,37,783
Region V: Bicol Region,1294,17,595
Region VI: Western Visayas,3667,47,1545
Region VII: Central Visayas,19005,999,15759
Region VIII: Eastern Visayas,2005,8,1169
Region X: Northern Mindanao,1256,15,669
Region XI: Davao Region,1958,55,1391
Region XII: SOCCSKSARGEN,562,4,391
