region,confirmed,deaths,recovered
BARMM,773,16,571
CAR,964,11,631
CARAGA,688,9,398
NCR,133783,1918,105058
ROF,10531,23,8813
Region I: Ilocos Region,1308,33,907
Region II: Cagayan Valley,1108,8,647
Region III: Central Luzon,9996,142,6299
Region IV-A: CALABARZON,38091,378,27075
Region IV-B: MIMAROPA,820,11,611
Region IX: Zamboanga Peninsula,1770,56,1267
Region V: Bicol Region,1971,33,1305
Region VI: Western Visayas,7242,90,4021
Region VII: Central Visayas,20356,1056,17679
Region VIII: Eastern Visayas,3581,26,2452
Region X: Northern Mindanao,1935,28,1229
Region XI: Davao Region,2427,62,1964
Region XII: SOCCSKSARGEN,851,8,557
