region,confirmed,deaths,recovered
BARMM,1729,50,1296
CAR,2744,29,1777
CARAGA,2411,75,1508
NCR,180582,3167,162258
ROF,12391,36,12046
Region I: Ilocos Region,2827,74,1967
Region II: Cagayan Valley,2708,34,1918
Region III: Central Luzon,20909,276,16638
Region IV-A: CALABARZON,65838,756,55051
Region IV-B: MIMAROPA,1916,28,1513
Region IX: Zamboanga Peninsula,3277,116,2188
Region V: Bicol Region,2998,89,2458
Region VI: Western Visayas,15696,357,12317
Region VII: Central Visayas,23223,1279,20843
Region VIII: Eastern Visayas,6132,52,5080
Region X: Northern Mindanao,4777,92,3255
Region XI: Davao Region,4372,113,3160
Region XII: SOCCSKSARGEN,2506,56,1730
