region,confirmed,deaths,recovered
BARMM,664,12,458
CAR,820,9,372
CARAGA,500,4,298
NCR,118004,1609,75886
REPATRIATE,9690,18,6711
Region I: Ilocos Region,1106,28,611
Region II: Cagayan Valley,762,4,487
Region III: Central Luzon,7988,100,3871
Region IV-A: CALABARZON,31097,291,17328
Region IV-B: MIMAROPA,678,7,448
Region IX: Zamboanga Peninsula,1477,46,929
Region V: Bicol Region,1527,27,772
Region VI: Western Visayas,4976,55,1938
Region VII: Central Visayas,19513,1019,16428
Region VIII: Eastern Visayas,2589,12,1456
Region X: Northern Mindanao,1430,19,765
Region XI: Davao Region,2070,57,1565
Region XII: SOCCSKSARGEN,613,4,434
