region,confirmed,deaths,recovered
BARMM,702,12,506
CAR,894,9,505
CARAGA,527,5,349
NCR,124077,1735,89611
ROF,10102,19,7475
Region I: Ilocos Region,1185,29,779
Region II: Cagayan Valley,866,5,571
Region III: Central Luzon,8675,125,4972
Region IV-A: CALABARZON,33220,330,21981
Region IV-B: MIMAROPA,692,7,511
Region IX: Zamboanga Peninsula,1578,50,1048
Region V: Bicol Region,1694,29,1034
Region VI: Western Visayas,5409,71,2711
Region VII: Central Visayas,19772,1030,17009
Region VIII: Eastern Visayas,3083,13,1531
Region X: Northern Mindanao,1551,19,976
Region XI: Davao Region,2194,59,1689
Region XII: SOCCSKSARGEN,649,4,475
