region,confirmed,deaths,recovered
BARMM,673,12,506
CAR,870,9,505
CARAGA,527,5,350
NCR,122174,1715,89531
ROF,10063,19,7434
Region I: Ilocos Region,1160,28,754
Region II: Cagayan Valley,855,6,565
Region III: Central Luzon,8387,123,4961
Region IV-A: CALABARZON,32719,321,21974
Region IV-B: MIMAROPA,692,7,505
Region IX: Zamboanga Peninsula,1546,49,1050
Region V: Bicol Region,1661,29,1036
Region VI: Western Visayas,5243,69,2710
Region VII: Central Visayas,19681,1026,17012
Region VIII: Eastern Visayas,2868,13,1528
Region X: Northern Mindanao,1513,19,975
Region XI: Davao Region,2160,59,1689
Region XII: SOCCSKSARGEN,634,4,473
