region,confirmed,deaths,recovered
BARMM,11,0,0
CAR,47,0,0
CARAGA,4,0,0
NCR,9234,0,0
Region I: Ilocos Region,64,0,0
Region II: Cagayan Valley,34,0,0
Region III: Central Luzon,502,0,0
Region IV-A: CALABARZON,1509,0,0
Region IV-B: MIMAROPA,37,0,0
Region IX: Zamboanga Peninsula,149,0,0
Region V: Bicol Region,69,0,0
Region VI: Western Visayas,108,0,0
Region VII: Central Visayas,2019,0,0
Region VIII: Eastern Visayas,28,0,0
Region X: Northern Mindanao,22,0,0
Region XI: Davao Region,242,0,0
Region XII: SOCCSKSARGEN,23,0,0
Repatriate,134,0,0
