region,confirmed,deaths,recovered
BARMM,473,5,316
CAR,385,4,154
CARAGA,300,2,105
NCR,66051,1053,34592
REPATRIATE,5351,13,3935
Region I: Ilocos Region,579,17,205
Region II: Cagayan Valley,430,1,192
Region III: Central Luzon,3479,64,1580
Region IV-A: CALABARZON,14855,173,5374
Region IV-B: MIMAROPA,369,6,181
Region IX: Zamboanga Peninsula,903,21,547
Region V: Bicol Region,714,7,294
Region VI: Western Visayas,1784,20,820
Region VII: Central Visayas,17281,709,12400
Region VIII: Eastern Visayas,1128,2,650
Region X: Northern Mindanao,788,12,412
Region XI: Davao Region,1469,51,867
Region XII: SOCCSKSARGEN,415,3,176
