region,confirmed,deaths,recovered
BARMM,727,13,507
CAR,907,9,508
CARAGA,605,8,345
NCR,129552,1826,91037
ROF,10364,22,7802
Region I: Ilocos Region,1232,31,793
Region II: Cagayan Valley,947,6,579
Region III: Central Luzon,9268,132,5071
Region IV-A: CALABARZON,35743,361,22441
Region IV-B: MIMAROPA,717,8,523
Region IX: Zamboanga Peninsula,1689,53,1094
Region V: Bicol Region,1834,30,1031
Region VI: Western Visayas,6365,82,2903
Region VII: Central Visayas,20101,1039,17118
Region VIII: Eastern Visayas,3320,20,1819
Region X: Northern Mindanao,1775,24,983
Region XI: Davao Region,2338,60,1778
Region XII: SOCCSKSARGEN,713,6,487
