region,confirmed,deaths,recovered
BARMM,410,5,321
CAR,301,4,147
CARAGA,192,2,99
NCR,57246,1036,34535
REPATRIATE,4236,9,3420
Region I: Ilocos Region,435,17,206
Region II: Cagayan Valley,332,1,194
Region III: Central Luzon,2782,64,1591
Region IV-A: CALABARZON,11528,171,5267
Region IV-B: MIMAROPA,280,6,179
Region IX: Zamboanga Peninsula,816,17,535
Region V: Bicol Region,530,7,294
Region VI: Western Visayas,1516,18,799
Region VII: Central Visayas,16724,680,11917
Region VIII: Eastern Visayas,874,2,633
Region X: Northern Mindanao,663,11,416
Region XI: Davao Region,1346,46,849
Region XII: SOCCSKSARGEN,353,3,175
