region,confirmed,deaths,recovered
BARMM,302,4,59
CAR,177,3,96
CARAGA,179,1,98
MIMAROPA,210,4,98
NCR,38248,967,13037
REPATRIATE,2449,2,1102
Region I: Ilocos Region,256,14,87
Region II: Cagayan Valley,217,1,79
Region III: Central Luzon,1794,51,745
Region IV-A: CALABARZON,5777,158,1955
Region IX: Zamboanga Peninsula,545,12,209
Region V: Bicol Region,354,7,104
Region VI: Western Visayas,862,13,278
Region VII: Central Visayas,11753,537,3218
Region VIII: Eastern Visayas,699,2,584
Region X: Northern Mindanao,490,11,70
Region XI: Davao Region,997,43,483
Region XII: SOCCSKSARGEN,214,2,59
