region,confirmed,deaths,recovered
BARMM,208,4,51
CAR,153,3,93
CARAGA,172,0,34
MIMAROPA,159,4,76
NCR,28276,914,11415
REPATRIATE,2453,1,1010
Region I: Ilocos Region,210,13,74
Region II: Cagayan Valley,160,1,50
Region III: Central Luzon,1517,50,701
Region IV-A: CALABARZON,4396,156,1853
Region IX: Zamboanga Peninsula,416,10,190
Region V: Bicol Region,299,6,85
Region VI: Western Visayas,536,11,139
Region VII: Central Visayas,10895,376,3031
Region VIII: Eastern Visayas,656,2,250
Region X: Northern Mindanao,372,9,47
Region XI: Davao Region,787,34,440
Region XII: SOCCSKSARGEN,116,2,37
