region,confirmed,deaths,recovered
BARMM,307,5,87
CAR,179,3,96
CARAGA,190,1,98
MIMAROPA,227,4,102
NCR,39164,969,13271
REPATRIATE,2449,2,1123
Region I: Ilocos Region,267,14,87
Region II: Cagayan Valley,236,1,79
Region III: Central Luzon,1852,51,744
Region IV-A: CALABARZON,5848,158,1956
Region IX: Zamboanga Peninsula,599,12,215
Region V: Bicol Region,359,7,104
Region VI: Western Visayas,908,15,278
Region VII: Central Visayas,12013,538,3222
Region VIII: Eastern Visayas,705,2,585
Region X: Northern Mindanao,528,11,72
Region XI: Davao Region,1004,43,501
Region XII: SOCCSKSARGEN,230,2,60
