region,confirmed,deaths,recovered
BARMM,563,11,450
CAR,721,8,371
CARAGA,421,4,298
NCR,107110,1404,74071
REPATRIATE,8389,14,6550
Region I: Ilocos Region,980,25,577
Region II: Cagayan Valley,698,3,416
Region III: Central Luzon,6795,81,3740
Region IV-A: CALABARZON,27538,250,16992
Region IV-B: MIMAROPA,607,6,381
Region IX: Zamboanga Peninsula,1322,37,872
Region V: Bicol Region,1357,19,761
Region VI: Western Visayas,3812,48,1826
Region VII: Central Visayas,19115,1003,16254
Region VIII: Eastern Visayas,2140,8,1253
Region X: Northern Mindanao,1259,15,765
Region XI: Davao Region,1977,55,1454
Region XII: SOCCSKSARGEN,564,4,428
