region,confirmed,deaths,recovered
BARMM,335,5,86
CAR,196,2,108
CARAGA,201,2,130
MIMAROPA,235,4,104
NCR,44362,995,13899
REPATRIATE,2450,2,1137
Region I: Ilocos Region,314,15,122
Region II: Cagayan Valley,280,1,111
Region III: Central Luzon,2007,53,748
Region IV-A: CALABARZON,6766,161,1960
Region IX: Zamboanga Peninsula,668,15,265
Region V: Bicol Region,415,7,149
Region VI: Western Visayas,1104,16,391
Region VII: Central Visayas,13360,590,4557
Region VIII: Eastern Visayas,738,2,602
Region X: Northern Mindanao,554,11,83
Region XI: Davao Region,1152,45,567
Region XII: SOCCSKSARGEN,263,2,71
