region,confirmed,deaths,recovered
BARMM,37,0,0
CAR,95,0,0
CARAGA,16,0,0
NCR,13858,0,0
Region I: Ilocos Region,117,0,0
Region II: Cagayan Valley,42,0,0
Region III: Central Luzon,736,0,0
Region IV-A: CALABARZON,2002,0,0
Region IV-B: MIMAROPA,74,0,0
Region IX: Zamboanga Peninsula,173,0,0
Region V: Bicol Region,94,0,0
Region VI: Western Visayas,141,0,0
Region VII: Central Visayas,4373,0,0
Region VIII: Eastern Visayas,197,0,0
Region X: Northern Mindanao,75,0,0
Region XI: Davao Region,433,0,0
Region XII: SOCCSKSARGEN,39,0,0
Repatriate,1620,0,0
