region,confirmed,deaths,recovered
BARMM,485,5,320
CAR,404,4,153
CARAGA,306,2,103
NCR,71145,1093,35231
REPATRIATE,6073,14,4125
Region I: Ilocos Region,615,20,207
Region II: Cagayan Valley,469,2,192
Region III: Central Luzon,3779,64,1590
Region IV-A: CALABARZON,15941,177,5449
Region IV-B: MIMAROPA,382,6,176
Region IX: Zamboanga Peninsula,966,23,558
Region V: Bicol Region,794,7,296
Region VI: Western Visayas,1955,24,871
Region VII: Central Visayas,17524,756,12718
Region VIII: Eastern Visayas,1267,3,705
Region X: Northern Mindanao,829,12,407
Region XI: Davao Region,1494,51,906
Region XII: SOCCSKSARGEN,435,3,195
