region,confirmed,deaths,recovered
BARMM,57,0,0
CAR,111,0,0
CARAGA,31,0,0
NCR,16277,0,0
Region I: Ilocos Region,131,0,0
Region II: Cagayan Valley,45,0,0
Region III: Central Luzon,838,0,0
Region IV-A: CALABARZON,2334,0,0
Region IV-B: MIMAROPA,87,0,0
Region IX: Zamboanga Peninsula,189,0,0
Region V: Bicol Region,108,0,0
Region VI: Western Visayas,199,0,0
Region VII: Central Visayas,6419,0,0
Region VIII: Eastern Visayas,301,0,0
Region X: Northern Mindanao,98,0,0
Region XI: Davao Region,479,0,0
Region XII: SOCCSKSARGEN,51,0,0
Repatriate,1844,0,0
