region,confirmed,deaths,recovered
BARMM,1629,48,1154
CAR,2483,26,1610
CARAGA,2221,70,1397
NCR,177912,3096,156133
ROF,12245,36,11952
Region I: Ilocos Region,2703,71,1766
Region II: Cagayan Valley,2484,34,1738
Region III: Central Luzon,19913,257,15108
Region IV-A: CALABARZON,63945,739,50940
Region IV-B: MIMAROPA,1860,26,1326
Region IX: Zamboanga Peninsula,3070,103,2042
Region V: Bicol Region,2868,88,2335
Region VI: Western Visayas,15056,350,11258
Region VII: Central Visayas,22997,1281,20387
Region VIII: Eastern Visayas,5851,50,4886
Region X: Northern Mindanao,4358,91,2781
Region XI: Davao Region,4040,106,2892
Region XII: SOCCSKSARGEN,2340,49,1530
