region,confirmed,deaths,recovered
BARMM,62,0,0
CAR,121,0,0
CARAGA,116,0,0
NCR,19005,0,0
Region I: Ilocos Region,148,0,0
Region II: Cagayan Valley,57,0,0
Region III: Central Luzon,983,0,0
Region IV-A: CALABARZON,2816,0,0
Region IV-B: MIMAROPA,92,0,0
Region IX: Zamboanga Peninsula,249,0,0
Region V: Bicol Region,139,0,0
Region VI: Western Visayas,305,0,0
Region VII: Central Visayas,8096,0,0
Region VIII: Eastern Visayas,367,0,0
Region X: Northern Mindanao,131,0,0
Region XI: Davao Region,538,0,0
Region XII: SOCCSKSARGEN,64,0,0
Repatriate,2035,0,0
