region,confirmed,deaths,recovered
BARMM,1566,47,1154
CAR,2378,25,1511
CARAGA,2129,61,1260
NCR,176422,3083,155908
ROF,12188,35,11939
Region I: Ilocos Region,2479,69,1762
Region II: Cagayan Valley,2359,32,1701
Region III: Central Luzon,19485,250,15071
Region IV-A: CALABARZON,62871,735,50840
Region IV-B: MIMAROPA,1807,25,1292
Region IX: Zamboanga Peninsula,2921,102,2033
Region V: Bicol Region,2793,82,2326
Region VI: Western Visayas,14651,334,11084
Region VII: Central Visayas,22832,1274,20382
Region VIII: Eastern Visayas,5598,49,4764
Region X: Northern Mindanao,4185,87,2780
Region XI: Davao Region,3896,103,2894
Region XII: SOCCSKSARGEN,2202,46,1517
