region,confirmed,deaths,recovered
BARMM,605,11,457
CAR,796,9,372
CARAGA,475,4,298
NCR,114309,1490,75277
REPATRIATE,9093,15,6622
Region I: Ilocos Region,1053,26,609
Region II: Cagayan Valley,728,4,485
Region III: Central Luzon,7609,94,3851
Region IV-A: CALABARZON,29867,267,17254
Region IV-B: MIMAROPA,665,7,401
Region IX: Zamboanga Peninsula,1427,37,909
Region V: Bicol Region,1435,22,772
Region VI: Western Visayas,4553,50,1869
Region VII: Central Visayas,19296,1012,16418
Region VIII: Eastern Visayas,2315,8,1380
Region X: Northern Mindanao,1385,17,764
Region XI: Davao Region,2044,56,1527
Region XII: SOCCSKSARGEN,600,4,429
