region,confirmed,deaths,recovered
BARMM,1186,35,708
CAR,1376,16,938
CARAGA,1251,16,590
NCR,159782,2595,128780
ROF,11816,30,11075
Region I: Ilocos Region,1861,42,1163
Region II: Cagayan Valley,1780,22,1007
Region III: Central Luzon,15626,199,9273
Region IV-A: CALABARZON,51481,560,36315
Region IV-B: MIMAROPA,1297,20,827
Region IX: Zamboanga Peninsula,2204,84,1614
Region V: Bicol Region,2438,57,1819
Region VI: Western Visayas,11160,195,7446
Region VII: Central Visayas,21862,1216,18923
Region VIII: Eastern Visayas,4682,41,3811
Region X: Northern Mindanao,2924,53,1842
Region XI: Davao Region,2985,70,2439
Region XII: SOCCSKSARGEN,1545,24,877
