region,confirmed,deaths,recovered
BARMM,558,8,431
CAR,698,7,314
CARAGA,361,1,249
NCR,97892,1297,63324
REPATRIATE,7506,19,5437
Region I: Ilocos Region,905,23,488
Region II: Cagayan Valley,654,3,357
Region III: Central Luzon,5809,77,3020
Region IV-A: CALABARZON,24359,232,13573
Region IV-B: MIMAROPA,549,6,307
Region IX: Zamboanga Peninsula,1222,35,767
Region V: Bicol Region,1129,17,596
Region VI: Western Visayas,3230,32,1453
Region VII: Central Visayas,18750,957,15724
Region VIII: Eastern Visayas,1760,3,1016
Region X: Northern Mindanao,1163,14,662
Region XI: Davao Region,1880,56,1340
Region XII: SOCCSKSARGEN,532,4,379
