region,confirmed,deaths,recovered
BARMM,2067,56,1665
CAR,4042,41,2560
CARAGA,2959,84,2219
NCR,187016,3347,175012
ROF,12837,36,12588
Region I: Ilocos Region,3169,88,2669
Region II: Cagayan Valley,3126,37,2588
Region III: Central Luzon,22921,334,20089
Region IV-A: CALABARZON,70587,845,64214
Region IV-B: MIMAROPA,2020,29,1849
Region IX: Zamboanga Peninsula,4087,126,3107
Region V: Bicol Region,3398,100,2833
Region VI: Western Visayas,17829,415,15129
Region VII: Central Visayas,23881,1319,21706
Region VIII: Eastern Visayas,7084,59,6037
Region X: Northern Mindanao,5687,115,4469
Region XI: Davao Region,5814,147,4140
Region XII: SOCCSKSARGEN,3206,80,2345
