region,confirmed,deaths,recovered
BARMM,1266,37,822
CAR,1501,16,987
CARAGA,1334,21,771
NCR,162902,2654,138503
ROF,11884,30,11358
Region I: Ilocos Region,1959,42,1320
Region II: Cagayan Valley,1867,22,1192
Region III: Central Luzon,16346,203,11272
Region IV-A: CALABARZON,53476,580,41237
Region IV-B: MIMAROPA,1438,23,1013
Region IX: Zamboanga Peninsula,2252,88,1744
Region V: Bicol Region,2523,63,2011
Region VI: Western Visayas,11824,231,8235
Region VII: Central Visayas,22105,1226,19332
Region VIII: Eastern Visayas,4780,40,3953
Region X: Northern Mindanao,3086,58,2123
Region XI: Davao Region,3135,75,2546
Region XII: SOCCSKSARGEN,1631,30,1069
