region,confirmed,deaths,recovered
BARMM,11,0,0
CAR,48,0,0
CARAGA,4,0,0
NCR,9481,0,0
Region I: Ilocos Region,65,0,0
Region II: Cagayan Valley,35,0,0
Region III: Central Luzon,509,0,0
Region IV-A: CALABARZON,1527,0,0
Region IV-B: MIMAROPA,37,0,0
Region IX: Zamboanga Peninsula,153,0,0
Region V: Bicol Region,70,0,0
Region VI: Western Visayas,108,0,0
Region VII: Central Visayas,2021,0,0
Region VIII: Eastern Visayas,28,0,0
Region X: Northern Mindanao,24,0,0
Region XI: Davao Region,252,0,0
Region XII: SOCCSKSARGEN,23,0,0
Repatriate,162,0,0
