region,confirmed,deaths,recovered
BARMM,1222,35,815
CAR,1399,16,986
CARAGA,1275,22,779
NCR,160796,2623,137995
ROF,11853,30,11340
Region I: Ilocos Region,1910,42,1322
Region II: Cagayan Valley,1834,22,1209
Region III: Central Luzon,15996,202,11366
Region IV-A: CALABARZON,52276,566,41366
Region IV-B: MIMAROPA,1340,21,1001
Region IX: Zamboanga Peninsula,2222,85,1726
Region V: Bicol Region,2467,60,2018
Region VI: Western Visayas,11358,196,8274
Region VII: Central Visayas,21910,1219,19268
Region VIII: Eastern Visayas,4708,40,3897
Region X: Northern Mindanao,3001,57,2149
Region XI: Davao Region,3062,73,2483
Region XII: SOCCSKSARGEN,1606,26,1065
