region,confirmed,deaths,recovered
BARMM,755,16,572
CAR,946,11,637
CARAGA,629,9,397
NCR,131853,1899,104907
ROF,10461,23,8770
Region I: Ilocos Region,1238,33,900
Region II: Cagayan Valley,1046,8,648
Region III: Central Luzon,9631,141,6287
Region IV-A: CALABARZON,36861,374,27054
Region IV-B: MIMAROPA,786,9,613
Region IX: Zamboanga Peninsula,1721,54,1266
Region V: Bicol Region,1914,32,1304
Region VI: Western Visayas,6913,87,3990
Region VII: Central Visayas,20207,1052,17681
Region VIII: Eastern Visayas,3533,24,2198
Region X: Northern Mindanao,1855,28,1230
Region XI: Davao Region,2373,60,1926
Region XII: SOCCSKSARGEN,788,8,554
