region,confirmed,deaths,recovered
BARMM,1150,34,709
CAR,1311,16,916
CARAGA,1203,14,591
NCR,159082,2555,128517
ROF,11805,30,11022
Region I: Ilocos Region,1850,42,1171
Region II: Cagayan Valley,1762,18,1011
Region III: Central Luzon,15414,194,9272
Region IV-A: CALABARZON,51219,548,36345
Region IV-B: MIMAROPA,1261,20,811
Region IX: Zamboanga Peninsula,2182,81,1616
Region V: Bicol Region,2408,57,1814
Region VI: Western Visayas,10970,190,7386
Region VII: Central Visayas,21772,1210,18933
Region VIII: Eastern Visayas,4659,40,3804
Region X: Northern Mindanao,2893,51,1844
Region XI: Davao Region,2944,69,2334
Region XII: SOCCSKSARGEN,1468,18,840
