region,confirmed,deaths,recovered
BARMM,411,5,325
CAR,239,2,144
CARAGA,152,2,104
NCR,50611,1025,34545
REPATRIATE,3381,8,2997
Region I: Ilocos Region,344,15,202
Region II: Cagayan Valley,274,1,184
Region III: Central Luzon,2224,63,1561
Region IV-A: CALABARZON,8607,165,5129
Region IV-B: MIMAROPA,262,6,183
Region IX: Zamboanga Peninsula,763,16,535
Region V: Bicol Region,443,7,298
Region VI: Western Visayas,1328,17,791
Region VII: Central Visayas,15430,623,11564
Region VIII: Eastern Visayas,780,2,635
Region X: Northern Mindanao,585,11,405
Region XI: Davao Region,1190,47,819
Region XII: SOCCSKSARGEN,298,3,169
