region,confirmed,deaths,recovered
BARMM,1798,53,1305
CAR,2900,31,1868
CARAGA,2589,77,1504
NCR,181903,3250,163144
ROF,12536,37,12125
Region I: Ilocos Region,2890,78,1977
Region II: Cagayan Valley,2780,35,1931
Region III: Central Luzon,21297,310,16662
Region IV-A: CALABARZON,66789,794,55199
Region IV-B: MIMAROPA,1932,28,1524
Region IX: Zamboanga Peninsula,3464,118,2198
Region V: Bicol Region,3042,95,2465
Region VI: Western Visayas,16199,381,12665
Region VII: Central Visayas,23322,1291,20918
Region VIII: Eastern Visayas,6372,53,5256
Region X: Northern Mindanao,4971,93,3274
Region XI: Davao Region,4630,121,3283
Region XII: SOCCSKSARGEN,2686,60,1796
