region,confirmed,deaths,recovered
BARMM,57,0,0
CAR,111,0,0
CARAGA,29,0,0
NCR,16009,0,0
Region I: Ilocos Region,128,0,0
Region II: Cagayan Valley,45,0,0
Region III: Central Luzon,827,0,0
Region IV-A: CALABARZON,2324,0,0
Region IV-B: MIMAROPA,86,0,0
Region IX: Zamboanga Peninsula,189,0,0
Region V: Bicol Region,106,0,0
Region VI: Western Visayas,191,0,0
Region VII: Central Visayas,6270,0,0
Region VIII: Eastern Visayas,298,0,0
Region X: Northern Mindanao,95,0,0
Region XI: Davao Region,476,0,0
Region XII: SOCCSKSARGEN,53,0,0
Repatriate,1834,0,0
