region,confirmed,deaths,recovered
BARMM,141,0,0
CAR,138,0,0
CARAGA,162,0,0
NCR,22613,0,0
REPATRIATE,2161,0,0
Region I: Ilocos Region,193,0,0
Region II: Cagayan Valley,114,0,0
Region III: Central Luzon,1310,0,0
Region IV-A: CALABARZON,3663,0,0
Region IV-B: MIMAROPA,142,0,0
Region IX: Zamboanga Peninsula,378,0,0
Region V: Bicol Region,245,0,0
Region VI: Western Visayas,457,0,0
Region VII: Central Visayas,10270,0,0
Region VIII: Eastern Visayas,608,0,0
Region X: Northern Mindanao,242,0,0
Region XI: Davao Region,682,0,0
Region XII: SOCCSKSARGEN,96,0,0
