region,confirmed,deaths,recovered
BARMM,812,20,571
CAR,975,11,662
CARAGA,718,9,418
NCR,137156,1988,105421
ROF,10592,23,8932
Region I: Ilocos Region,1363,33,908
Region II: Cagayan Valley,1124,10,646
Region III: Central Luzon,10484,150,6322
Region IV-A: CALABARZON,39715,400,27142
Region IV-B: MIMAROPA,854,12,599
Region IX: Zamboanga Peninsula,1815,59,1301
Region V: Bicol Region,2019,36,1304
Region VI: Western Visayas,7636,99,4098
Region VII: Central Visayas,20457,1073,17674
Region VIII: Eastern Visayas,3696,29,2610
Region X: Northern Mindanao,2063,31,1231
Region XI: Davao Region,2486,63,1999
Region XII: SOCCSKSARGEN,952,12,556
