region,confirmed,deaths,recovered
BARMM,381,5,302
CAR,214,2,145
CARAGA,150,2,104
NCR,48389,1013,34489
REPATRIATE,3211,8,2908
Region I: Ilocos Region,330,15,209
Region II: Cagayan Valley,261,1,184
Region III: Central Luzon,2132,56,1566
Region IV-A: CALABARZON,8113,162,5127
Region IV-B: MIMAROPA,248,5,183
Region IX: Zamboanga Peninsula,715,15,535
Region V: Bicol Region,433,7,295
Region VI: Western Visayas,1222,15,790
Region VII: Central Visayas,14773,611,11531
Region VIII: Eastern Visayas,784,2,646
Region X: Northern Mindanao,568,11,408
Region XI: Davao Region,1142,45,805
Region XII: SOCCSKSARGEN,297,3,181
