region,confirmed,deaths,recovered
BARMM,1380,40,996
CAR,1938,21,1160
CARAGA,1631,36,1003
NCR,168974,2812,147103
ROF,11977,30,11716
Region I: Ilocos Region,2251,52,1537
Region II: Cagayan Valley,2022,29,1444
Region III: Central Luzon,17589,217,13240
Region IV-A: CALABARZON,57215,634,46159
Region IV-B: MIMAROPA,1626,24,1146
Region IX: Zamboanga Peninsula,2408,95,1880
Region V: Bicol Region,2624,76,2190
Region VI: Western Visayas,12883,274,9416
Region VII: Central Visayas,22411,1255,19742
Region VIII: Eastern Visayas,5140,43,4342
Region X: Northern Mindanao,3458,70,2436
Region XI: Davao Region,3443,87,2672
Region XII: SOCCSKSARGEN,1864,35,1268
