region,confirmed,deaths,recovered
BARMM,537,6,428
CAR,610,7,312
CARAGA,326,1,247
NCR,90093,1245,62706
REPATRIATE,7243,15,5501
Region I: Ilocos Region,841,23,484
Region II: Cagayan Valley,618,3,355
Region III: Central Luzon,5123,67,2986
Region IV-A: CALABARZON,21860,214,13399
Region IV-B: MIMAROPA,532,6,299
Region IX: Zamboanga Peninsula,1134,31,765
Region V: Bicol Region,1075,15,591
Region VI: Western Visayas,2883,30,1406
Region VII: Central Visayas,18494,924,15613
Region VIII: Eastern Visayas,1617,3,994
Region X: Northern Mindanao,1054,13,653
Region XI: Davao Region,1753,54,1274
Region XII: SOCCSKSARGEN,503,4,366
