region,confirmed,deaths,recovered
BARMM,405,5,321
CAR,285,2,145
CARAGA,178,2,100
NCR,55808,1033,34563
REPATRIATE,4076,9,3386
Region I: Ilocos Region,418,17,204
Region II: Cagayan Valley,318,1,192
Region III: Central Luzon,2584,63,1524
Region IV-A: CALABARZON,10969,171,5250
Region IV-B: MIMAROPA,274,6,176
Region IX: Zamboanga Peninsula,780,17,535
Region V: Bicol Region,515,7,296
Region VI: Western Visayas,1460,17,793
Region VII: Central Visayas,16220,642,11698
Region VIII: Eastern Visayas,859,2,632
Region X: Northern Mindanao,646,11,418
Region XI: Davao Region,1287,46,829
Region XII: SOCCSKSARGEN,332,3,168
