region,confirmed,deaths,recovered
BARMM,1103,32,710
CAR,1224,16,879
CARAGA,1089,13,595
NCR,155256,2481,127536
ROF,11696,30,10943
Region I: Ilocos Region,1799,41,1168
Region II: Cagayan Valley,1710,18,1012
Region III: Central Luzon,14921,180,9242
Region IV-A: CALABARZON,49237,532,36280
Region IV-B: MIMAROPA,1194,19,791
Region IX: Zamboanga Peninsula,2116,78,1585
Region V: Bicol Region,2366,56,1817
Region VI: Western Visayas,10320,171,7033
Region VII: Central Visayas,21623,1200,18873
Region VIII: Eastern Visayas,4419,40,3689
Region X: Northern Mindanao,2693,48,1840
Region XI: Davao Region,2870,67,2333
Region XII: SOCCSKSARGEN,1394,17,792
