region,confirmed,deaths,recovered
BARMM,350,5,104
CAR,199,2,108
CARAGA,204,2,131
MIMAROPA,241,4,107
NCR,45367,1001,14064
REPATRIATE,2495,2,1141
Region I: Ilocos Region,315,15,122
Region II: Cagayan Valley,279,1,133
Region III: Central Luzon,2032,52,751
Region IV-A: CALABARZON,6956,160,1969
Region IX: Zamboanga Peninsula,667,15,266
Region V: Bicol Region,421,7,149
Region VI: Western Visayas,1108,16,391
Region VII: Central Visayas,13387,598,4636
Region VIII: Eastern Visayas,735,2,599
Region X: Northern Mindanao,560,11,92
Region XI: Davao Region,1177,45,586
Region XII: SOCCSKSARGEN,269,3,82
