region,confirmed,deaths,recovered
BARMM,1032,28,626
CAR,1121,14,782
CARAGA,986,13,501
NCR,151161,2422,116958
ROF,11499,30,10283
Region I: Ilocos Region,1724,39,1016
Region II: Cagayan Valley,1586,18,799
Region III: Central Luzon,14164,175,7820
Region IV-A: CALABARZON,47467,518,31911
Region IV-B: MIMAROPA,1160,19,668
Region IX: Zamboanga Peninsula,2038,75,1472
Region V: Bicol Region,2290,52,1575
Region VI: Western Visayas,9713,153,5750
Region VII: Central Visayas,21329,1193,18434
Region VIII: Eastern Visayas,4235,38,3443
Region X: Northern Mindanao,2486,49,1469
Region XI: Davao Region,2778,67,2222
Region XII: SOCCSKSARGEN,1303,17,666
