region,confirmed,deaths,recovered
BARMM,549,7,428
CAR,674,7,312
CARAGA,346,1,248
NCR,91934,1247,62801
REPATRIATE,7337,15,5517
Region I: Ilocos Region,863,23,486
Region II: Cagayan Valley,631,3,354
Region III: Central Luzon,5307,70,3000
Region IV-A: CALABARZON,22606,219,13427
Region IV-B: MIMAROPA,544,6,299
Region IX: Zamboanga Peninsula,1175,31,766
Region V: Bicol Region,1099,15,589
Region VI: Western Visayas,2924,30,1406
Region VII: Central Visayas,18564,928,15657
Region VIII: Eastern Visayas,1629,3,994
Region X: Northern Mindanao,1079,14,651
Region XI: Davao Region,1768,54,1273
Region XII: SOCCSKSARGEN,510,4,366
