region,confirmed,deaths,recovered
BARMM,669,12,459
CAR,838,9,373
CARAGA,508,4,297
NCR,119998,1663,76297
ROF,9733,19,6770
Region I: Ilocos Region,1115,28,608
Region II: Cagayan Valley,823,4,487
Region III: Central Luzon,8209,114,3869
Region IV-A: CALABARZON,31803,307,17397
Region IV-B: MIMAROPA,681,7,452
Region IX: Zamboanga Peninsula,1524,49,930
Region V: Bicol Region,1561,27,774
Region VI: Western Visayas,5133,59,1991
Region VII: Central Visayas,19610,1020,16430
Region VIII: Eastern Visayas,2717,12,1478
Region X: Northern Mindanao,1481,19,768
Region XI: Davao Region,2104,57,1591
Region XII: SOCCSKSARGEN,623,4,437
