region,confirmed,deaths,recovered
BARMM,1526,45,1153
CAR,2258,22,1424
CARAGA,2024,58,1260
NCR,175254,3046,155659
ROF,12126,34,11915
Region I: Ilocos Region,2421,64,1765
Region II: Cagayan Valley,2271,32,1706
Region III: Central Luzon,19258,243,15083
Region IV-A: CALABARZON,61928,712,50738
Region IV-B: MIMAROPA,1788,25,1291
Region IX: Zamboanga Peninsula,2801,101,2032
Region V: Bicol Region,2751,80,2333
Region VI: Western Visayas,14368,316,10891
Region VII: Central Visayas,22749,1274,20386
Region VIII: Eastern Visayas,5541,48,4670
Region X: Northern Mindanao,3999,80,2778
Region XI: Davao Region,3804,99,2893
Region XII: SOCCSKSARGEN,2155,43,1508
