region,confirmed,deaths,recovered
BARMM,574,11,448
CAR,740,8,371
CARAGA,435,4,297
NCR,109615,1411,74443
REPATRIATE,8792,14,6578
Region I: Ilocos Region,1020,26,604
Region II: Cagayan Valley,694,3,417
Region III: Central Luzon,7166,81,3829
Region IV-A: CALABARZON,28404,251,17112
Region IV-B: MIMAROPA,618,6,383
Region IX: Zamboanga Peninsula,1367,37,878
Region V: Bicol Region,1389,20,760
Region VI: Western Visayas,3916,48,1858
Region VII: Central Visayas,19198,1004,16255
Region VIII: Eastern Visayas,2276,8,1293
Region X: Northern Mindanao,1288,15,766
Region XI: Davao Region,2020,56,1480
Region XII: SOCCSKSARGEN,572,4,429
