region,confirmed,deaths,recovered
BARMM,288,4,55
CAR,156,3,96
CARAGA,176,1,34
MIMAROPA,192,4,90
NCR,33962,965,12613
REPATRIATE,2451,2,1093
Region I: Ilocos Region,221,13,76
Region II: Cagayan Valley,190,1,50
Region III: Central Luzon,1649,51,703
Region IV-A: CALABARZON,5136,158,1870
Region IX: Zamboanga Peninsula,519,11,209
Region V: Bicol Region,319,7,96
Region VI: Western Visayas,799,12,168
Region VII: Central Visayas,11588,480,3104
Region VIII: Eastern Visayas,680,2,342
Region X: Northern Mindanao,516,11,73
Region XI: Davao Region,911,41,444
Region XII: SOCCSKSARGEN,178,2,50
