region,confirmed,deaths,recovered
BARMM,1989,54,1427
CAR,3584,39,2276
CARAGA,2837,83,1817
NCR,185318,3325,169440
ROF,12720,36,12322
Region I: Ilocos Region,3083,83,2421
Region II: Cagayan Valley,2982,37,2182
Region III: Central Luzon,22338,324,18388
Region IV-A: CALABARZON,69382,836,59236
Region IV-B: MIMAROPA,1977,28,1731
Region IX: Zamboanga Peninsula,3906,125,2568
Region V: Bicol Region,3263,98,2636
Region VI: Western Visayas,17442,410,13994
Region VII: Central Visayas,23686,1316,21206
Region VIII: Eastern Visayas,6889,57,5783
Region X: Northern Mindanao,5514,100,3804
Region XI: Davao Region,5294,147,3555
Region XII: SOCCSKSARGEN,3045,76,2068
