region,confirmed,deaths,recovered
BARMM,1963,54,1427
CAR,3496,39,2212
CARAGA,2824,83,1819
NCR,184777,3313,169285
ROF,12669,36,12283
Region I: Ilocos Region,3057,83,2421
Region II: Cagayan Valley,2960,37,2176
Region III: Central Luzon,22187,319,18376
Region IV-A: CALABARZON,68944,831,59182
Region IV-B: MIMAROPA,1971,28,1728
Region IX: Zamboanga Peninsula,3845,125,2552
Region V: Bicol Region,3199,98,2637
Region VI: Western Visayas,17271,400,13853
Region VII: Central Visayas,23635,1315,21210
Region VIII: Eastern Visayas,6816,55,5677
Region X: Northern Mindanao,5441,98,3805
Region XI: Davao Region,5223,147,3538
Region XII: SOCCSKSARGEN,2973,75,2061
