region,confirmed,deaths,recovered
BARMM,20,0,0
CAR,47,0,0
CARAGA,6,0,0
NCR,10870,0,0
Region I: Ilocos Region,71,0,0
Region II: Cagayan Valley,37,0,0
Region III: Central Luzon,592,0,0
Region IV-A: CALABARZON,1706,0,0
Region IV-B: MIMAROPA,40,0,0
Region IX: Zamboanga Peninsula,157,0,0
Region V: Bicol Region,79,0,0
Region VI: Western Visayas,117,0,0
Region VII: Central Visayas,2119,0,0
Region VIII: Eastern Visayas,31,0,0
Region X: Northern Mindanao,30,0,0
Region XI: Davao Region,279,0,0
Region XII: SOCCSKSARGEN,26,0,0
Repatriate,579,0,0
