region,confirmed,deaths,recovered
BARMM,1496,45,1149
CAR,2217,22,1422
CARAGA,1985,57,1260
NCR,173917,3046,155613
ROF,12111,34,11919
Region I: Ilocos Region,2368,62,1767
Region II: Cagayan Valley,2236,32,1706
Region III: Central Luzon,18987,243,15086
Region IV-A: CALABARZON,61069,709,50742
Region IV-B: MIMAROPA,1779,25,1293
Region IX: Zamboanga Peninsula,2675,101,2032
Region V: Bicol Region,2734,80,2340
Region VI: Western Visayas,14007,316,10885
Region VII: Central Visayas,22671,1274,20389
Region VIII: Eastern Visayas,5520,48,4610
Region X: Northern Mindanao,3907,79,2776
Region XI: Davao Region,3743,95,2894
Region XII: SOCCSKSARGEN,2112,43,1506
