region,confirmed,deaths,recovered
BARMM,721,13,507
CAR,895,9,505
CARAGA,578,8,349
NCR,127730,1795,90314
ROF,10366,21,7726
Region I: Ilocos Region,1225,31,779
Region II: Cagayan Valley,930,6,570
Region III: Central Luzon,9053,129,5009
Region IV-A: CALABARZON,34908,359,22373
Region IV-B: MIMAROPA,701,7,515
Region IX: Zamboanga Peninsula,1670,52,1091
Region V: Bicol Region,1757,30,1032
Region VI: Western Visayas,5917,81,2881
Region VII: Central Visayas,20067,1032,17118
Region VIII: Eastern Visayas,3234,20,1720
Region X: Northern Mindanao,1759,23,983
Region XI: Davao Region,2297,59,1754
Region XII: SOCCSKSARGEN,684,6,486
