region,confirmed,deaths,recovered
BARMM,41,0,0
CAR,109,0,0
CARAGA,26,0,0
NCR,14848,0,0
Region I: Ilocos Region,122,0,0
Region II: Cagayan Valley,44,0,0
Region III: Central Luzon,766,0,0
Region IV-A: CALABARZON,2119,0,0
Region IV-B: MIMAROPA,82,0,0
Region IX: Zamboanga Peninsula,184,0,0
Region V: Bicol Region,96,0,0
Region VI: Western Visayas,165,0,0
Region VII: Central Visayas,5401,0,0
Region VIII: Eastern Visayas,284,0,0
Region X: Northern Mindanao,84,0,0
Region XI: Davao Region,439,0,0
Region XII: SOCCSKSARGEN,50,0,0
Repatriate,1741,0,0
